"id_partida";"id_jugador";"puntos_jugador";"puntos_banca";"resultado";"time_stamp"
1;27;25;17;"D";"2023-02-10 21:06:07"
2;28;25;18;"D";"2023-02-10 21:12:03"
3;28;21;26;"V";"2023-02-10 21:12:12"
4;28;19;25;"V";"2023-02-10 21:12:25"
5;35;20;18;"V";"2023-02-11 10:10:44"
6;35;21;24;"V";"2023-02-11 10:10:55"
7;3;17;17;"E";"2023-02-11 10:35:21"
8;3;18;19;"D";"2023-02-11 10:35:44"
9;36;21;17;"V";"2023-02-11 10:38:58"
10;3;22;22;"E";"2023-02-11 10:39:23"
11;3;20;22;"V";"2023-02-11 10:39:36"
12;3;17;19;"D";"2023-02-11 10:39:47"
13;5;19;17;"V";"2023-02-11 10:41:55"
14;42;21;20;"V";"2023-02-11 12:40:19"
15;9;19;21;"D";"2023-02-11 12:50:38"
16;3;18;19;"D";"2023-02-11 13:00:54"
17;3;21;18;"V";"2023-02-11 13:01:09"
18;3;21;17;"V";"2023-02-11 19:32:45"
19;3;21;20;"V";"2023-02-11 19:38:07"
20;3;22;21;"D";"2023-02-11 19:38:21"
21;43;18;17;"V";"2023-02-11 19:51:53"
22;43;17;17;"E";"2023-02-11 19:52:21"
23;3;19;18;"V";"2023-02-11 19:52:40"
24;3;22;23;"E";"2023-02-11 19:52:52"
25;3;21;20;"V";"2023-02-11 19:53:38"
26;8;19;24;"V";"2023-02-11 23:33:04"
27;3;19;20;"D";"2023-02-12 00:05:39"
28;3;19;23;"V";"2023-02-12 00:06:01"
29;6;21;19;"V";"2023-02-12 00:11:51"
30;6;22;20;"D";"2023-02-12 00:12:01"
31;6;21;18;"V";"2023-02-12 00:12:32"
32;17;24;20;"D";"2023-02-12 00:13:26"
33;17;29;17;"D";"2023-02-12 00:13:37"
34;17;23;17;"D";"2023-02-12 00:13:50"
35;17;21;19;"V";"2023-02-12 00:14:00"
36;3;19;19;"E";"2023-02-12 00:14:21"
37;3;19;21;"D";"2023-02-12 00:20:47"
38;3;21;22;"V";"2023-02-12 00:28:46"
39;3;27;26;"E";"2023-02-12 00:39:31"
40;3;32;20;"D";"2023-02-12 00:39:44"
41;3;17;19;"D";"2023-02-12 00:41:31"
42;3;21;22;"V";"2023-02-12 00:41:44"
43;6;25;18;"D";"2023-02-12 00:51:19"
44;6;25;20;"D";"2023-02-12 00:51:28"
45;6;20;22;"V";"2023-02-12 00:51:49"
46;6;21;26;"V";"2023-02-12 00:52:01"
47;6;19;20;"D";"2023-02-12 00:55:32"
48;6;9;21;"D";"2023-02-12 00:57:33"
49;6;18;20;"D";"2023-02-12 00:57:44"
50;6;21;22;"V";"2023-02-12 00:58:00"
51;6;18;19;"D";"2023-02-12 00:58:18"
52;6;24;23;"E";"2023-02-12 01:00:46"
